NODE_KEY,PARENT_KEY,EMPLOYEE_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INITIALS,SEX,LANGUAGE,PHONE_NUMBER,FAX_NUMBER,MOBILE_NUMBER,EMAIL_ADDRESS,LOGIN_NAME,PR_ADDRESS_GUID.NODE_KEY,VAL_START_DATE,VAL_END_DATE,CURRENCY,SALARY_AMOUNT,ACCOUNT_NUMBER,BANK_ID,BANK_NAME,EMPLOYEE_PIC_URL
5EF3FD3648631ED5AFBB0614A48493E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000000,Sally,,Spring,,F,E,+1 224 374524,+1 224 374004,+1 224 9211250,sally.spring@itelo.info,SPRINGS,5EF3FD3648631ED5AFBB0614A47FD3E6,20000101,99991231,USD,55549.00,111222333,510000655,My Bank of Antioch,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_8_SpringS.jpg
5EF3FD3648631ED5AFBB0614A484B3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000001,Susan,,Summer,,F,E,+1 610 6615530,+1 610 6615004,+1 208 4731134,susan.summer@itelo.info,SUMMERS,5EF3FD3648631ED5AFBB0614A47FF3E6,20000101,99991231,USD,76239.00,9988776655,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_7_SummerS.jpg
5EF3FD3648631ED5AFBB0614A484D3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000002,Franco,,Fall,,M,E,+1 213 6615538,+1 213 6615004,+1 213 4403787,franco.fall@itelo.info,FALLF,5EF3FD3648631ED5AFBB0614A48013E6,20000101,99991231,USD,85962.00,8877665544,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_2_FallF.jpg
5EF3FD3648631ED5AFBB0614A484F3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000003,Walter,,Winter,,M,E,+1 415 6991599,+1 415 6991004,+1 415 6991599,walter.winter@itelo.info,WINTERW,5EF3FD3648631ED5AFBB0614A48033E6,20000101,99991231,USD,68597.00,7766554433,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_1_WinterW.jpg
5EF3FD3648631ED5AFBB0614A48513E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000004,Maria,,Hicks,,F,E,+1 212 6539539,+1 212 6539004,+1 347 8218410,maria.hicks@itelo.info,HICKSM,5EF3FD3648631ED5AFBB0614A48053E6,20000101,99991231,USD,49876.00,1122334455,26005885,My Bank of New York,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_10_HicksM.jpg
5EF3FD3648631ED5AFBB0614A48533E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000005,John,,Dash,,M,E,+1 213 9026319,+1 213 9026004,+1 415 9025208,john.dash@itelo.info,DASHJ,5EF3FD3648631ED5AFBB0614A48073E6,20000101,99991231,USD,72691.00,5544332211,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_11_DashJ.jpg
5EF3FD3648631ED5AFBB0614A48553E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000006,Viola,Sarah,Gains,,F,E,+1 224 3745225,+1 224 3745004,+1 224 6615526,viola.gains@itelo.info,GAINSV,5EF3FD3648631ED5AFBB0614A48093E6,20000101,99991231,USD,110962.00,222333444,510000655,My Bank of Antioch,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_2_GainsV.jpg
5EF3FD3648631ED5AFBB0614A48573E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000007,Randy,,Gordon,,M,E,+1 212 5961108,+1 212 5961004,+1 917 8533522,randy.gordon@itelo.info,GORDONR,5EF3FD3648631ED5AFBB0614A480B3E6,20000101,99991231,USD,81463.00,2233445566,26005885,My Bank of New York,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_10_GordonR.jpg
5EF3FD3648631ED5AFBB0614A48593E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000008,Paul,,Burke,,M,E,+1 224 374523,+1 224 374004,+1 224 485634,paul.burke@itelo.info,BURKEP,5EF3FD3648631ED5AFBB0614A480D3E6,20000101,99991231,USD,100491.00,333444555,510000655,My Bank of Antioch,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_4_BurkeP.jpg
5EF3FD3648631ED5AFBB0614A485B3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000009,Michael,,Miller,,M,E,+44 2089 177316,+44 2089 177004,+44 7808 576316,michael.miller@itelo.info,MILLERM,5EF3FD3648631ED5AFBB0614A480F3E6,20000101,99991231,USD,86574.00,76543210,66665555,My Bank of London,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_9_MillerM.jpg
5EF3FD3648631ED5AFBB0614A485D3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000010,John,,Nicols,,M,E,+44 2089 176581,+44 2089 176004,+44 7808 575581,john.nicols@itelo.info,NICOLSJ,5EF3FD3648631ED5AFBB0614A48113E6,20000101,99991231,USD,61579.00,87654321,66665555,My Bank of London,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_7_NicolsJ.jpg
5EF3FD3648631ED5AFBB0614A485F3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000011,John,,Smith,,M,E,+44 2089 176308,+44 2089 176004,+44 7802 861469,john.smith@itelo.info,SMITHJO,5EF3FD3648631ED5AFBB0614A48133E6,20000101,99991231,USD,60350.00,98765432,66665555,My Bank of London,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_3_SmithJo.jpg
5EF3FD3648631ED5AFBB0614A48613E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000012,Joanne,,Rush,,F,E,+49 351 58116224,+49 351 58116004,+49 170 2200434,joanne.rush@itelo.info,RUSHJ,5EF3FD3648631ED5AFBB0614A48153E6,20000101,99991231,USD,70000.00,345678901,99999888,Deutsches Geldinstitut,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_1_RushJ.jpg
5EF3FD3648631ED5AFBB0614A48633E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000013,Sue,,Bay,,F,E,+1 224 374525,+1 224 374004,+1 415 2652709,sue.bay@itelo.info,BAYSU,5EF3FD3648631ED5AFBB0614A48173E6,20000101,99991231,USD,98631.00,0099887766,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_6_BaySu.jpg
5EF3FD3648631ED5AFBB0614A48653E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000014,James,,Field,,M,E,+1 224 374526,+1 224 374004,+44 7966 975580,james.field@itelo.info,FIELDJ,5EF3FD3648631ED5AFBB0614A48193E6,20000101,99991231,USD,76395.00,32109876,66665555,My Bank of London,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_5_FieldJ.jpg
5EF3FD3648631ED5AFBB0614A48673E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000015,Hermann,,Hecker,,M,E,+44 2089 178070,+44 2089 178004,+44 7966 975127,hermann.hecker@itelo.info,HECKERH,5EF3FD3648631ED5AFBB0614A481B3E6,20000101,99991231,USD,39874.00,123456789,99999888,Deutsches Geldinstitut,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_16_HeckerH.jpg
5EF3FD3648631ED5AFBB0614A48693E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000016,Rudolf,,Platte,,M,E,+49 304 1092539,+49 304 1092004,+49 160 90819927,rudolf.platte@itelo.info,PLATTER,5EF3FD3648631ED5AFBB0614A481D3E6,20000101,99991231,USD,45983.00,234567890,99999888,Deutsches Geldinstitut,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_15_PlatteR.jpg
5EF3FD3648631ED5AFBB0614A486B3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000017,Al,,Wallace,,M,E,+1 310 6615531,+1 310 6615004,+1 323 4731135,al.wallace@itelo.info,WALLACEA,5EF3FD3648631ED5AFBB0614A481F3E6,20000101,99991231,USD,55426.00,1100998877,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_13_WallaceA.jpg
5EF3FD3648631ED5AFBB0614A486D3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000018,Jonathan,,East,,M,E,+1 559 5932183,+1 559 5932004,+1 559 5932184,jonathan.east@itelo.info,EASTJ,5EF3FD3648631ED5AFBB0614A48213E6,20000101,99991231,USD,55427.00,6655443322,121000358,My Bank of San Francisco,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_12_EastJ.jpg
5EF3FD3648631ED5AFBB0614A486F3E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000019,James,,Smith,,M,E,+49 6227 770282,+49 6227 770004,+49 151 57118524,james.smith@itelo.info,SMITHJ,5EF3FD3648631ED5AFBB0614A48233E6,20000101,99991231,USD,38761.00,456789012,99999888,Deutsches Geldinstitut,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_14_SmithJ.jpg
5EF3FD3648631ED5AFBB0614A48713E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000020,Megan,,Wang,,F,E,+44 2089 176782,+44 2089 176004,+44 7808 575782,megan.wang@itelo.info,WANGM,5EF3FD3648631ED5AFBB0614A48253E6,20000101,99991231,USD,57985.00,54321098,66665555,My Bank of London,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_4_WangM.jpg
5EF3FD3648631ED5AFBB0614A48733E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000021,Anna,,Lerch,,F,E,+1 973 2110509,+1 973 2110004,+1 973 2161209,anna.lerch@itelo.info,LERCHA,5EF3FD3648631ED5AFBB0614A48273E6,20000101,99991231,USD,58768.00,5566778899,26005885,My Bank of New York,/sap/public/bc/NWDEMO_MODEL/IMAGES/female_5_LerchA.jpg
5EF3FD3648631ED5AFBB0614A48753E6,5EF3FD3648631ED5AFBB0614A47FB3E6,0400000022,Clark,,Kent,,M,E,+1 212 5539574,+1 212 5539004,+1 917 7159652,clark.kent@itelo.info,KENTC,5EF3FD3648631ED5AFBB0614A48293E6,20000101,99991231,USD,57000.00,3344556677,26005885,My Bank of New York,/sap/public/bc/NWDEMO_MODEL/IMAGES/male_18_KentC.jpg
